ORG_ID,ORG_FULL_NM,ORG_ABBREV_NM,URL_ADDR,CB_REGION_CD,MAIL_STREET_ADDR1,MAIL_STREET_ADDR2,MAIL_CITY,MAIL_STATE_CD,UNDERGRAD_GRADE_CD,GRAD_6_YR_RATE_PCT,ENROLL_UG_TOTAL_DEG
1,Colorado Mountain College,Colorado Mountain Co,www.coloradomtn.edu,WRO,802 Grand Avenue,,Glenwood Springs,CO,2,,
2,Penn State Berks,Penn State Berks,www.bk.psu.edu,MSRO,"Tulpehocken Road, PO Box 7009",,Reading,PA,5,57,2635
3,Humacao Community College,Humacao Community Co,www.hccpr.edu,IRO,PO Box 9139,,Humacao,PR,2,,441
4,Lake Erie College,Lake Erie College,www.lec.edu,MRO,391 West Washington Street,,Painesville,OH,5,,
5,Lincoln Memorial University,Lincoln Memorial Uni,www.lmunet.edu,SRO,6965 Cumberland Gap Parkway,Dar 2nd Floor,Harrogate,TN,5,53,1821
6,Quincy University,Quincy University,www.quincy.edu,MRO,1800 College Avenue,,Quincy,IL,5,46,
7,St. Norbert College,St. Norbert College,www.snc.edu,MRO,100 Grant Street,,De Pere,WI,5,73,2041
9,Cuyamaca College,Cuyamaca College,www.cuyamaca.edu,WRO,900 Rancho San Diego Parkway,,El Cajon,CA,2,,
11,Paralegal Institute at Brighton College,Paralegal Inst at Br,www.theparalegalinstitute.edu,WRO,"7332 East Butherus Drive, Suite 102",,Scottsdale,AZ,2,,
12,Copper Mountain College,Copper Mountain Coll,www.cmccd.edu,WRO,PO Box 1398,,Joshua Tree,CA,2,,
13,Fullerton College,Fullerton College,www.fullcoll.edu,WRO,321 East Chapman Avenue,,Fullerton,CA,2,,
14,Colorado State University,Colorado State Univ,www.colostate.edu,WRO,0100 Campus Delivery,,Fort Collins,CO,5,69,24742
15,Cornell University,Cornell University,www.cornell.edu,MSRO,410 Thurston Avenue,,Ithaca,NY,5,93,14815
16,Penn State Worthington Scranton,Penn State Worthingt,www.sn.psu.edu,MSRO,120 Ridge View Drive,,Dunmore,PA,5,37,1003
17,University of Wisconsin-Whitewater,Univ of Wisconsin-Wh,www.uww.edu,MRO,800 West Main Street,,Whitewater,WI,5,62,10522
18,Central Piedmont Community College,Central Piedmont Com,www.cpcc.edu,SRO,PO Box 35009,,Charlotte,NC,2,,17550
19,Central Virginia Community College,Central Virginia Com,www.centralvirginia.edu,SRO,3506 Wards Road,,Lynchburg,VA,2,,
20,Stevens Institute of Business & Arts,Stevens Inst Bus. &,www.siba.edu,MRO,1521 Washington Avenue,,St. Louis,MO,2,,121
21,Southern Technical College,Southern Tech Coll,www.southerntech.edu,SRO,1685 Medical Lane,,Fort Myers,FL,2,,
22,Umpqua Community College,Umpqua Community Col,www.umpqua.edu,WRO,1140 Umpqua College Road,,Roseburg,OR,2,,
23,Wenatchee Valley College,Wenatchee Valley Col,www.wvc.edu,WRO,1300 Fifth Street,,Wenatchee,WA,2,,
24,Florida Technical College: Orlando,Florida Tech C: Orla,www.ftccollege.edu,SRO,12900 Challenger Parkway,,Orlando,FL,2,,
28,Black River Technical College,Black River Technica,www.blackrivertech.edu,SWRO,PO Box 468,,Pocahontas,AR,2,,1248
29,Charles R Drew University of Medicine and Science,Charles R Drew U Med,www.cdrewu.edu,WRO,1731 East 120th Street,,Los Angeles,CA,5,,138
30,Argosy University: Chicago,Argosy University: C,www.argosy.edu/chicago,MRO,"225 North Michigan Avenue, Suite 1300",,Chicago,IL,5,,
31,Landmark College,Landmark College,www.landmark.edu,NERO,PO Box 820,,Putney,VT,2,,
32,Maine College of Health Professions,Miane Coll of Health,www.mchp.edu,NERO,70 Middle Street,,Lewiston,ME,2,,
33,SUNY College at Old Westbury,SUNY Old Westbury,www.oldwestbury.edu,MSRO,PO Box 210,,Old Westbury,NY,5,48,4481
34,Barnard College,Barnard College,www.barnard.edu,MSRO,3009 Broadway,,New York,NY,5,93,2600
35,Jacksonville State University,Jacksonville State U,www.jsu.edu,SRO,700 Pelham Road North,,Jacksonville,AL,5,,
36,Ursuline College,Ursuline College,www.ursuline.edu,MRO,2550 Lander Road,,Pepper Pike,OH,5,53,607
37,Northampton Community College,Northampton Communit,www.northampton.edu,MSRO,3835 Green Pond Road,,Bethlehem,PA,2,,9203
38,West Chester University of Pennsylvania,West Chester Univers,www.wcupa.edu,MSRO,700 South High Street,,West Chester,PA,5,73,14202
39,Boston University,Boston University,www.bu.edu,NERO,One Silber Way,,Boston,MA,5,87,16716
40,Beth Hatalmud Rabbinical College,Beth Hatalmud Rabbin,,MSRO,2127 82nd Street,,Brooklyn,NY,5,,
43,Los Angeles Valley College,Los Angeles Valley C,www.lavc.edu,WRO,5800 Fulton Avenue,,Valley Glen,CA,2,,
46,New Charter University,New Charter Universi,www.new.edu,WRO,"543 Howard Street, 5th Floor",,San Francisco,CA,5,,
47,California National University for Advanced Studies,California Nat'l U A,www.cnuas.edu,WRO,18520 Hawthorne Boulevard,,Torrance,CA,5,,
48,Monroe Community College,Monroe Community Col,www.monroecc.edu,MSRO,1000 East Henrietta Road,,Rochester,NY,2,,11841
49,Cuyahoga Community College,Cuyahoga Comm Coll,www.tri-c.edu,MRO,2900 Community College Avenue,,Cleveland,OH,2,,
50,Memorial University of Newfoundland,Memorial Univ of New,www.mun.ca/undergrad,,"PO Box 4200, Station C",Station C,St. John's,,5,,
51,Athens State University,Athens State Univers,www.athens.edu,SRO,300 North Beaty Street,,Athens,AL,3,,2802
52,Purdue University Global: Cedar Falls,Purdue Univ: Cedar F,www.kaplanuniversity.edu/cedar-falls-iowa.aspx,MRO,7009 Nordic Drive,,Cedar Falls,IA,5,,
56,Community College of the Air Force,Community College Ai,www.au.af.mil/au/barnes/ccaf/,SRO,100 South Turner Boulevard,,Maxwell-Gunter AFB,AL,2,,
57,Johnson College,Johnson College,www.johnson.edu,MSRO,3427 North Main Avenue,,Scranton,PA,2,,
58,Carl Albert State College,Carl Albert State Co,www.carlalbert.edu,SWRO,1507 South McKenna,,Poteau,OK,2,,
59,Hamilton Technical College,Hamilton Technical C,www.hamiltontechcollege.edu,MRO,1011 East 53rd Street,,Davenport,IA,4,38,622
60,Tabor College,Tabor College,www.tabor.edu,MRO,400 South Jefferson,,Hillsboro,KS,5,38,622
61,College of the Ozarks,College of the Ozark,www.cofo.edu,MRO,PO Box 17,,Point Lookout,MO,5,72,1491
62,Maryville University of Saint Louis,Maryville Univ of St,www.maryville.edu,MRO,650 Maryville University Drive,,St. Louis,MO,5,72,3112
63,Webster University,Webster University,www.webster.edu,MRO,470 East Lockwood Avenue,,St. Louis,MO,5,64,2514
64,College of Saint Mary,College of Saint Mar,www.csm.edu,MRO,7000 Mercy Road,,Omaha,NE,5,48,780
66,The Workforce Institute's City College,Workforce Inst City,www.wficitycollege.org,MSRO,4322 North 5th Street,,Philadelphia,PA,2,,
68,University of Arkansas: Community College at Morrilton,Univ of Arkansas CC,www.uaccm.edu,SWRO,1537 University Boulevard,,Morrilton,AR,2,,1797
69,Coconino County Community College,Coconino County Comm,www.coconino.edu,WRO,2800 South Lone Tree Road,,Flagstaff,AZ,2,,
70,Williams Baptist University,Williams Baptist Uni,www.wbcoll.edu,SWRO,60 West Fulbright Avenue,,Walnut Ridge,AR,5,42,450
71,San Jacinto College : South Campus,San Jacinto College,www.sanjac.edu,SWRO,8060 Spencer Highway,,Pasadena,TX,2,,24827
72,Aaniiih Nakoda College,Aaniiih Nakoda Colle,www.ancollege.edu,WRO,PO Box 159,,Harlem,MT,2,,
73,University of Missouri: Kansas City,Univ of Missouri: KC,www.umkc.edu,MRO,5100 Rockhill Road,,Kansas City,MO,5,48,7854
74,Muscatine Community College,Muscatine Community,www.eicc.edu,MRO,152 Colorado Street,,Muscatine,IA,2,,
75,Mayville State University,Mayville State Unive,www.mayvillestate.edu,MRO,330 3rd Street NE,Main Building RM 107,Mayville,ND,5,34,825
77,Iowa Western Community College,Iowa Western Communi,www.iwcc.edu,MRO,"2700 College Road, Box 4-C",,Council Bluffs,IA,2,,
78,Emporia State University,Emporia State Univer,www.emporia.edu,MRO,One Kellogg Circle,,Emporia,KS,5,45,3499
79,Southern Nazarene University,Southern Nazarene Un,www.snu.edu,SWRO,6729 NW 39th Expressway,,Bethany,OK,5,,
80,Trinity Valley Community College,Trinity Valley Comm,www.tvcc.edu,SWRO,100 Cardinal Drive,,Athens,TX,2,,6107
83,South University: Savannah,South Univ: Savannah,www.southuniversity.edu,SRO,709 Mall Boulevard,,Savannah,GA,5,,
85,Salvation Army College for Officer Training at Crestmont,Salvation Army Coll,www.crestmont.edu,WRO,30840 Hawthorne Boulevard,,Rancho Palos Verdes,CA,2,,
86,Santiago Canyon College,Santiago Canyon Coll,www.sccollege.edu,WRO,8045 East Chapman Avenue,,Orange,CA,2,,
88,Divine Word College,Divine Word College,www.dwci.edu,MRO,"102 Jacoby Drive SW,  Box 380",,Epworth,IA,5,,
89,Virginia Polytechnic Institute and State University,Virginia Tech,www.vt.edu,SRO,800 Drillfield Drive,,Blacksburg,VA,5,84,27120
90,John Tyler Community College,John Tyler Community,www.jtcc.edu,SRO,13101 Jefferson Davis Highway,,Chester,VA,2,,
91,University of Texas at Arlington,Univ of Texas at Arl,www.uta.edu,SWRO,UTA Box 19088,,Arlington,TX,5,,
92,Sampson Community College,Sampson Community Co,www.sampsoncc.edu,SRO,PO Box 318,,Clinton,NC,2,,
93,Trinity Washington University,Trinity Washington U,www.trinitydc.edu,MSRO,"125 Michigan Avenue, NE",,Washington,DC,5,,
95,Ohio Valley University,Ohio Valley College,www.ovu.edu,MRO,1 Campus View Drive,,Vienna,WV,5,33,425
96,Gallaudet University,Gallaudet University,www.gallaudet.edu,MSRO,"800 Florida Avenue, NE",,Washington,DC,5,53,1111
97,Greensboro College,Greensboro College,www.greensboro.edu,SRO,815 West Market Street,,Greensboro,NC,5,,
98,Hodges University,Hodges University,www.hodges.edu,SRO,Attn: J Diaz,4501 Colonial Boulevard,Fort Myers,FL,5,,
99,Pima Community College,Pima Community Colle,www.pima.edu,WRO,4905C East Broadway,,Tucson,AZ,2,,
100,San Jose City College,San Jose City Colleg,www.sjcc.edu,WRO,2100 Moorpark Avenue,,San Jose,CA,2,,
101,Trident Technical College,Trident Technical Co,www.tridenttech.edu,SRO,PO Box 118067,,Charleston,SC,2,,10905
104,Hebrew Theological College,Hebrew Theological C,www.htc.edu,MRO,7135 North Carpenter Road,,Skokie,IL,5,,
105,Davis and Elkins College,Davis and Elkins Col,www.dewv.edu,MRO,100 Campus Drive,,Elkins,WV,5,,
106,University of Idaho,Univ of Idaho,www.uidaho.edu,WRO,875 Perimeter Drive MS 2282,,Moscow,ID,5,55,
107,Stetson University,Stetson University,www.stetson.edu,SRO,421 North Woodland Boulevard,,DeLand,FL,5,62,3047
108,Louisburg College,Louisburg College,www.louisburg.edu,SRO,501 North Main Street,,Louisburg,NC,2,,
109,Mitchell Community College,Mitchell Community C,www.mitchellcc.edu,SRO,500 West Broad Street,,Statesville,NC,2,,
112,Boston Conservatory at Berklee,Boston Conservatory,www.bostonconservatory.edu,NERO,31 Hemenway,,Boston,MA,5,,
113,Napa Valley College,Napa Valley College,www.napavalley.edu,WRO,2277 Napa-Vallejo Highway,,Napa,CA,2,,
114,New Mexico State University at Carlsbad,New Mexico State U C,www.cavern.nmsu.edu,SWRO,1500 University Drive,,Carlsbad,NM,2,,
115,Island Drafting and Technical Institute,Island Drafting and,www.idti.edu,MSRO,128 Broadway,,Amityville,NY,2,,
116,Seattle University,Seattle University,www.seattleu.edu,WRO,"901 12th Avenue, Box 222000",,Seattle,WA,5,74,4620
117,San Francisco Conservatory of Music,San Francisco Con of,www.sfcm.edu,WRO,50 Oak Street,,San Francisco,CA,5,54,205
118,City University of New York: Queensborough Community College,CUNY Queensborough C,www.qcc.cuny.edu,MSRO,222-05 56th Avenue,,Bayside,NY,2,,13341
119,University of the Potomac,University of the Po,www.potomac.edu,SRO,2070 Chain Bridge Road,,Herndon,VA,5,,
120,Vatterott College: Oklahoma City,Vatterott College: O,www.vatterott.edu,SWRO,5537 Northwest Expressway,,Oklahoma City,OK,2,,
122,Wesleyan University,Wesleyan University,www.wesleyan.edu,NERO,70 Wyllys Avenue,,Middletown,CT,5,90,2887
123,Big Bend Community College,Big Bend Community C,www.bigbend.edu,WRO,7662 Chanute Street NE,,Moses Lake,WA,2,,1748
126,SUNY College of Technology at Alfred,SUNY Alfred State Co,www.alfredstate.edu,MSRO,10 Upper College Drive,,Alfred,NY,5,51,3665
127,St. Louis Christian College,St. Louis Christian,www.stlchristian.edu,MRO,1360 Grandview Drive,,Florissant,MO,5,33,78
129,Spartan College of Aeronautics and Technology,Spartan College of A,www.spartan.edu,SWRO,PO Box 582833,,Tulsa,OK,5,,
130,Northeast Iowa Community College,Northeast Iowa Comm,www.nicc.edu,MRO,PO Box 400,,Calmar,IA,2,,2214
131,Arkansas Baptist College,Arkansas Baptist Col,www.arkansasbaptist.edu,SWRO,1621 Dr. Martin Luther King Drive,,Little Rock,AR,5,,
133,Austin Community College,Austin Community Col,www.austincc.edu,SWRO,5930 Middle Fiskville Road,,Austin,TX,2,,
135,Trinity Bible College,Trinity Bible Colleg,www.trinitybiblecollege.edu,MRO,50 Sixth Avenue South,,Ellendale,ND,5,,
136,West Virginia Northern Community College,West Virginia Northe,www.wvncc.edu,MRO,1704 Market Street,,Wheeling,WV,2,,
137,Wor-Wic Community College,Wor-Wic Community Co,www.worwic.edu,MSRO,32000 Campus Drive,,Salisbury,MD,2,,2653
138,Three Rivers Community College,Three Rivers Comm Co,www.trcc.edu,MRO,2080 Three Rivers Boulevard,,Poplar Bluff,MO,2,,
139,Texas A&M International University,Texas A&M Internatio,www.tamiu.edu,SWRO,5201 University Boulevard,,Laredo,TX,5,44,6780
140,Tulsa Community College,Tulsa Community Coll,www.tulsacc.edu,SWRO,6111 East Skelly Drive,,Tulsa,OK,2,,14220
142,Texas A&M University-Corpus Christi,Texas A&M Univ Corpu,www.tamucc.edu,SWRO,6300 Ocean Drive,,Corpus Christi,TX,5,,10167
143,University of Texas at Tyler,Univ of Texas at Tyl,www.uttyler.edu,SWRO,3900 University Boulevard,,Tyler,TX,5,42,
144,Texas Tech University Health Sciences Center,Texas Tech Univ HSC,www.ttuhsc.edu,SWRO,3601 Fourth Street,,Lubbock,TX,3,,
145,Union College,Union College (NE),www.ucollege.edu,MRO,3800 South 48th Street,,Lincoln,NE,5,,
146,University of Arkansas,Univ of Arkansas,www.uark.edu,SWRO,,,Fayetteville,AR,5,62,22756
147,University of Dallas,Univ of Dallas,www.udallas.edu,SWRO,1845 East Northgate Drive,,Irving,TX,5,68,1440
148,University of Dubuque,Univ of Dubuque,www.dbq.edu,MRO,2000 University Avenue,,Dubuque,IA,5,43,1958
149,University of Houston,Univ of Houston,www.uh.edu,SWRO,4800 Calhoun Road,,Houston,TX,5,54,36088
152,University of Kansas,Univ of Kansas,https://www.ku.edu,MRO,1502 Iowa Street,,Lawrence,KS,5,63,18341
154,University of Missouri: St. Louis,Univ of Missouri: St,www.umsl.edu,MRO,One University Boulevard,,St. Louis,MO,5,,7362
155,University of Minnesota: Morris,Univ of Minnesota: M,www.morris.umn.edu,MRO,600 East Fourth Street,,Morris,MN,5,,1554
156,University of Minnesota: Crookston,Univ of Minnesota: C,www.crk.umn.edu,MRO,2900 University Avenue,,Crookston,MN,5,,
158,University of Kansas Medical Center,Univ of Kansas Med C,www.kumc.edu,MRO,3901 Rainbow Boulevard,,Kansas City,KS,3,,555
159,University of Nebraska Medical Center,Univ of Nebraska Med,www.unmc.edu,MRO,984230 Nebraska Medical Center,,Omaha,NE,3,,
160,Morningside College,Morningside College,www.morningside.edu,MRO,1501 Morningside Avenue,,Sioux City,IA,5,56,1272
161,Mount Marty College,Mount Marty College,www.mtmc.edu,MRO,1105 West Eighth Street,,Yankton,SD,5,56,566
162,Mount Mercy University,Mount Mercy Universi,www.mtmercy.edu,MRO,1330 Elmhurst Drive NE,,Cedar Rapids,IA,5,58,1502
163,Ashford University,Ashford University,www.ashford.edu,WRO,8620 Spectrum Center Boulevard,,San Diego,CA,5,,
165,Goodwin College,Goodwin College,www.goodwin.edu,NERO,One Riverside Drive,,East Hartford,CT,2,,3394
166,University of Nebraska - Omaha,Univ of Nebraska Oma,www.unomaha.edu,MRO,6001 Dodge Street,,Omaha,NE,5,,
167,Murray State College,Murray State College,www.mscok.edu,SWRO,One Murray Campus,,Tishomingo,OK,2,,
168,Midland College,Midland College,www.midland.edu,SWRO,3600 North Garfield,,Midland,TX,2,,3983
169,Cankdeska Cikana Community College,Cankdeska Cikana Com,www.littlehoop.edu,MRO,214 First Avenue,,Fort Totten,ND,2,,
170,National American University: Rapid City,National American U,www.national.edu,MRO,5301 South Highway 16,,Rapid City,SD,5,,
171,Navarro College,Navarro College,www.navarrocollege.edu,SWRO,3200 West Seventh Avenue,,Corsicana,TX,2,,
172,Chadron State College,Chadron State Colleg,www.csc.edu,MRO,1000 Main Street,,Chadron,NE,5,,
173,University of Nebraska - Kearney,Univ of Nebraska Kea,www.unk.edu,MRO,Meml Student Affairs,2510 11th Avenue,Kearney,NE,5,61,4440
174,Peru State College,Peru State College,www.peru.edu,MRO,P.O. Box 10,,Peru,NE,5,36,1388
175,Wayne State College,Wayne State College,www.wsc.edu,MRO,1111 Main Street,,Wayne,NE,5,,2610
176,Nebraska Wesleyan University,Nebraska Wesleyan Un,www.nebrwesleyan.edu,MRO,5000 St. Paul Avenue,,Lincoln,NE,5,,
178,Northeast Community College,Northeast Community,www.northeast.edu,MRO,PO Box 469,,Norfolk,NE,2,,2693
179,North Dakota State University,North Dakota State U,www.ndsu.edu,MRO,PO Box 6050,,Fargo,ND,5,58,11687
180,North Dakota State College of Science,North Dakota State C,www.ndscs.edu,MRO,800 North 6th Street,Haverty 101,Wahpeton,ND,2,,2109
181,Dickinson State University,Dickinson State Univ,www.dickinsonstate.edu,MRO,291 Campus Drive,,Dickinson,ND,5,,
183,Mid-Plains Community College,Mid-Plains Community,www.mpcc.edu,MRO,601 W State Farm Road,,North Platte,NE,2,,1223
184,North Hennepin Community College,North Hennepin Comm,www.nhcc.edu,MRO,7411 85th Avenue North,,Brooklyn Park,MN,2,,
185,Northland Community & Technical College,Northland Community/,www.northlandcollege.edu,MRO,1101 Highway One East,,Thief River Falls,MN,2,,
186,Normandale Community College,Normandale Community,www.normandale.edu,MRO,9700 France Avenue South,,Bloomington,MN,2,,
188,Nebraska Christian College,Nebraska Christian C,www.nechristian.edu,MRO,12550 South 114th Street,,Papillion,NE,5,,138
189,Northwest Iowa Community College,Northwest Iowa Comm,www.nwicc.edu,MRO,603 West Park Street,,Sheldon,IA,2,,
190,North Central University,North Central Univer,www.northcentral.edu,MRO,910 Elliot Avenue,,Minneapolis,MN,5,,
191,Las Positas College,Las Positas College,www.laspositascollege.edu,WRO,3033 Collier Canyon Road,,Livermore,CA,2,,
192,Lone Star College System,Lone Star College Sy,www.lonestar.edu,SWRO,5000 Research Forest Drive,,The Woodlands,TX,2,,89413
194,Santa Barbara Business College,Santa Barbara BC,www.sbbcollege.edu,WRO,506 Chapala Street,,Santa Barbara,CA,2,,
195,City College: Altamonte Springs,City College: Altamo,www.citycollege.edu,SRO,853 Semoran Boulevard 436,,Casselberry,FL,2,,
196,Nebraska Methodist College of Nursing and Allied Health,Nebraska Methodist C,www.methodistcollege.edu,MRO,720 North 87th Street,,Omaha,NE,5,,860
198,Eastfield College,Eastfield College,www.eastfieldcollege.edu,SWRO,3737 Motley Drive,,Mesquite,TX,2,,10772
200,El Paso Community College,El Paso Community Co,www.epcc.edu,SWRO,PO Box 20500,,El Paso,TX,2,,
201,Texas A&M University-Texarkana,Texas A&M Univ Texar,www.tamut.edu,SWRO,7101 University Avenue,,Texarkana,TX,3,,1562
202,East Arkansas Community College,East Arkansas Comm C,www.eacc.edu,SWRO,1700 Newcastle Road,,Forrest City,AR,2,,
204,Faith Baptist Bible College and Theological Seminary,Faith Baptist Bible,www.faith.edu,MRO,1900 NW Fourth Street,,Ankeny,IA,5,,
207,Fontbonne University,Fontbonne University,www.fontbonne.edu,MRO,6800 Wydown Boulevard,,St. Louis,MO,5,50,875
209,Iowa Central Community College,Iowa Central Communi,www.iowacentral.edu,MRO,One Triton Circle,,Fort Dodge,IA,2,,3523
210,Fort Hays State University,Fort Hays State Univ,www.fhsu.edu,MRO,600 Park Street,,Hays,KS,5,,12174
211,Fort Scott Community College,Fort Scott Community,www.fortscott.edu,MRO,2108 S Horton Street,,Fort Scott,KS,2,,
212,Jefferson College,Jefferson College,www.jeffco.edu,MRO,1000 Viking Drive,,Hillsboro,MO,2,,
213,John Brown University,John Brown Universit,www.jbu.edu,SWRO,2000 West University Street,,Siloam Springs,AR,5,73,1608
214,Missouri Southern State University,Missouri Southern St,www.mssu.edu,MRO,3950 East Newman Road,,Joplin,MO,5,33,5426
215,Mineral Area College,Mineral Area College,www.mineralarea.edu,MRO,PO Box 1000,,Park Hills,MO,2,,
216,Metropolitan Community College - Kansas City,Metropolitan CC: Kan,www.mcckc.edu,MRO,3200 Broadway,,Kansas City,MO,2,,
217,Johnson County Community College,Johnson County Comm,www.jccc.edu,MRO,12345 College Boulevard,,Overland Park,KS,2,,
218,University of British Columbia,Univ of British Colu,www.you.ubc.ca,,2329 West Mall,,Vancouver,,5,,
219,Texas State Technical College,Texas State Tech C,www.tstc.edu,SWRO,3801 Campus Drive,,Waco,TX,2,,9524
220,Penn State Abington,Penn State Abington,www.abington.psu.edu,MSRO,1600 Woodland Road,,Abington,PA,5,50,3674
221,Juniata College,Juniata College,www.juniata.edu,MSRO,1700 Moore Street,,Huntingdon,PA,5,84,1371
222,Lancaster Bible College,Lancaster Bible Coll,www.lbc.edu,MSRO,901 Eden Road,,Lancaster,PA,5,,
223,D'Youville College,D'Youville College,www.dyc.edu,MSRO,320 Porter Avenue,,Buffalo,NY,5,53,1664
224,Collin County Community College District,Collin County Comm C,www.collin.edu,SWRO,3452 Spur 399,,McKinney,TX,2,,25716
225,University of Wisconsin-Marathon County,Univ of Wisconsin-Ma,www.uwmc.uwc.edu,MRO,518 South Seventh Avenue,,Wausau,WI,2,,
226,Lehigh University,Lehigh University,www.lehigh.edu,MSRO,27 Memorial Drive West,,Bethlehem,PA,5,86,5057
227,Minneapolis College of Art and Design,Minneapolis College,www.mcad.edu,MRO,2501 Stevens Avenue South,,Minneapolis,MN,5,59,675
228,Tennessee Technological University,Tennessee Technologi,www.tntech.edu,SRO,1 William L. Jones Drive,,Cookeville,TN,5,49,9084
230,Northcentral University,Northcentral Univers,www.ncu.edu,WRO,2488 Historic Decatur Rd Suite 100,,San Diego,CA,3,,89
231,The King's University,The King's Universit,www.tku.edu,SWRO,2121 E Southlake Blvd,,Southlake,TX,5,,398
232,Saint Anthony College of Nursing,Saint Anthony Coll o,www.sacn.edu,MRO,3301 North Mulford Road,,Rockford,IL,3,,
239,Fortis College: Centerville,Fortis College: Cent,www.fortis.edu,MRO,555 East Alex Bell Road,,Centerville,OH,2,,
242,University College of San Juan,Univ College of San,www.cunisanjuan.edu,IRO,180 Jose R. Oliver Avenue,,San Juan,PR,5,,1480
243,The North Coast College,The North Coast Coll,www.vmcad.edu,MRO,11724 Detroit Avenue,,Lakewood,OH,2,,
244,Lac Courte Oreilles Ojibwa Community College,Lac Courte Oreilles,www.lco.edu,MRO,13466 West Trepania Road,,Hayward,WI,2,,
246,Escuela de Artes Plasticas de Puerto Rico,Escuela de Artes Pla,www.eap.edu,IRO,PO Box 9021112,,San Juan,PR,5,32,497
247,Baptist Missionary Association Theological Seminary,Baptist Missionary A,www.bmats.edu,SWRO,PO Box 670,,Jacksonville,TX,5,,
248,Amridge University,Amridge University,www.amridgeuniversity.edu,SRO,PO Box 240240,,Montgomery,AL,5,,
249,Paradise Valley Community College,Paradise Valley Comm,www.pvc.maricopa.edu,WRO,18401 North 32nd Street,,Phoenix,AZ,2,,
250,Keiser University,Keiser University,www.keiseruniversity.edu,SRO,2600 North Military Trail,,West Palm Beach,FL,5,,17196
251,Columbus Technical College,Columbus Technical C,www.columbustech.edu,SRO,928 Manchester Expressway,,Columbus,GA,2,,2656
253,Fountainhead College of Technology,Fountainhead College,www.fountainheadcollege.edu,SRO,3203 Tazewell Pike,,Knoxville,TN,2,,
254,Northeast State Community College,Northeast State Comm,www.NortheastState.edu,SRO,PO Box 246,,Blountville,TN,2,,
257,Instituto Tecnologico Autonomo de Mexico,Institute Tec Autono,https://www.itam.mx/,,"Rio Hondo No. 1, Colonia Progreso Tizapan",,Mexico City,,5,,
258,Instituto Tecnologico y de Estudios Superiores de Occidente,Institute Tec y Estu,www.iteso.mx,,"ITESO, AC ITE570731PS9 Periferico Sur",Manuel Gomez Morin,Jalisco,,4,,
259,Universidad Anahuac,Universidad Anahuac,www.anahuac.mx,,Av Universidad Anahuac 46,Col Lomas Anahuac,Huixquilucan,,7,,
261,Universidad Autonoma de Coahuila,Universidad Autonoma,www.uadec.mx,,Blvd. V. Carranza y Gonzalez Lobo,Gonzalez Lobo  Colonia Republica Orient,Saltillo,,5,,
262,Northwest Arkansas Community College,Northwest Arkansas C,www.nwacc.edu,SWRO,One College Drive,,Bentonville,AR,2,,
265,Kent State University: Ashtabula,Kent State Univ Asht,www.kent.edu/ashtabula,MRO,3300 Lake Road West,,Ashtabula,OH,2,,1789
266,Life Pacific College,Life Pacific College,www.lifepacific.edu,WRO,1100 West Covina Boulevard,,San Dimas,CA,5,,
269,Antioch University Santa Barbara,Antioch Univ Santa B,www.antiochsb.edu,WRO,602 Anacapa Street,,Santa Barbara,CA,3,,
270,Mission College,Mission College,www.missioncollege.edu,WRO,3000 Mission College Boulevard,,Santa Clara,CA,2,,
271,Milwaukee Institute of Art & Design,Milwaukee Inst of Ar,www.miad.edu,MRO,273 East Erie Street,,Milwaukee,WI,5,53,
272,Universidad Metropolitana,Universidad Metropol,www.suagm.edu/umet,IRO,PO Box 21150,,San Juan,PR,5,31,10617
273,Southwestern Baptist Theological Seminary,Southwestern Baptist,www.swbts.edu,SWRO,PO Box 22740,,Fort Worth,TX,5,,
277,Wade College,Wade College,www.wadecollege.edu,SWRO,1950 North Stemmons Freeway,,Dallas,TX,2,,
278,Dakota College at Bottineau,Dakota College at Bo,www.dakotacollege.edu,MRO,105 Simrall Boulevard,,Bottineau,ND,2,,
279,Ohio State University: Lima Campus,Ohio State Univ: Lim,www.lima.osu.edu,MRO,4240 Campus Drive,,Lima,OH,5,38,927
280,Rose State College,Rose State College,www.rose.edu,SWRO,6420 SE 15th Street,,Midwest City,OK,2,,6160
283,Oklahoma Panhandle State University,Oklahoma Panhandle S,www.opsu.edu,SWRO,PO Box 430,,Goodwell,OK,5,,
284,Panola College,Panola College,www.panola.edu,SWRO,1109 West Panola Street,,Carthage,TX,2,,2656
285,Paris Junior College,Paris Junior College,www.parisjc.edu,SWRO,2400 Clarksville Street,,Paris,TX,2,,
286,Park University,Park University,www.park.edu,MRO,8700 NW River Park Drive,,Parkville,MO,5,,9442
287,Labette Community College,Labette Community Co,www.labette.edu,MRO,200 South 14th Street,,Parsons,KS,2,,
288,Paul Quinn College,Paul Quinn College,www.pqc.edu,SWRO,3837 Simpson Stuart Road,,Dallas,TX,5,,
289,Philander Smith College,Philander Smith Coll,www.philander.edu,SWRO,900 West Daisy Bates Drive,,Little Rock,AR,5,30,888
290,Prairie View A&M University,Prairie View A&M Uni,www.pvamu.edu,SWRO,PO Box 519,,Prairie View,TX,5,35,7974
291,Pratt Community College,Pratt Community Coll,www.prattcc.edu,MRO,348 Northeast State Road 61,,Pratt,KS,2,,
292,Presentation College,Presentation College,www.presentation.edu,MRO,1500 North Main Street,,Aberdeen,SD,5,,
